x,y,z_COG,w_COG,z_MoM,w_MoM,z_ModMoM,w_ModMoM,z_CA,w_CA,,,x,y,z_COG,z_MOM,z_ModifiedMOM,z_CA,w_COG,w_MOM,w_ModifiedMOM,w_CA,,Z_COG差,W_COG差,,z_MoM差,w_MoM差,,z_ModMoM差,w_ModMoM差,,Z_CA,W_CA
-3.9,0.2,1.693442623,1131.082409,0.5,1179.95,0.5,1179.95,0.5,1179.95,,,-3.9,0.2,1.693442623,0.5,0.5,0.5,1131.39834,1180,1180,1180,,0,-0.057407406,,0,-0.05,,0,-0.05,,3.00E-15,-0.05
-3.9,0.3,1.754545455,1128.690535,0.75,1169.95,0.75,1169.95,0.75,1169.95,,,-3.9,0.3,1.754545455,0.75,0.75,0.75,1128.992337,1170,1170,1170,,0,-0.054832345,,0,-0.05,,0,-0.05,,2.00E-15,-0.05
-3.9,0.4,1.830516432,1125.687758,1,1159.95,1,1159.95,1,1159.95,,,-3.9,0.4,1.830516432,1,1,1,1125.979834,1160,1160,1160,,0,-0.053061223,,0,-0.05,,0,-0.05,,2.00E-15,-0.05
-3.9,0.5,1.918421053,1122.196299,1.25,1149.95,1.25,1149.95,1.25,1149.95,,,-3.9,0.5,1.918421053,1.25,1.25,1.25,1122.481728,1150,1150,1150,,0,-0.05185185,,0,-0.05,,0,-0.05,,9.99E-15,-0.05
-3.9,0.6,3.918320611,1118.307815,1.5,1139.95,1.5,1139.95,2.666666667,1133.283333,,,-3.9,0.6,3.918320611,1.5,1.5,2.666666667,1118.588785,1140,1140,1133.333333,,0,-0.051041665,,0,-0.05,,0,-0.05,,3.33E-10,-0.050000333
-3.9,0.7,4.68372093,1118.307815,5,1139.95,5,1139.95,3.607142857,1135.664286,,,-3.9,0.7,4.68372093,5,5,3.607142857,1118.588785,1140,1140,1135.714286,,0,-0.051041665,,0,-0.05,,0,-0.05,,-1.43E-10,-0.049999714
-3.9,0.8,4.880046404,1125.687758,5.05,1159.95,5.05,1159.95,4.2875,1149.95,,,-3.9,0.8,4.880046404,5,5,4.25,1125.979834,1160,1160,1150,,0,-0.053061223,,0.05,-0.05,,0.05,-0.05,,3.75E-02,-0.05
-3.9,0.9,4.969772257,1131.082409,5,1179.95,5,1179.95,4.694444444,1172.172222,,,-3.9,0.9,4.969772257,5,5,4.694444444,1131.39834,1180,1180,1172.222222,,0,-0.057407406,,0,-0.05,,0,-0.05,,-4.44E-10,-0.050000222
-3.9,1,5,1133.260143,5,1197.45,5,1197.45,5,1197.45,,,-3.9,1,5,5,5,5,1133.618123,1197.5,1197.5,1197.5,,0,-0.065080309,,0,-0.05,,0,-0.05,,-9.77E-15,-0.05
-3.9,1.1,5.030227743,1131.082409,5,1179.95,5,1179.95,5.305555556,1172.172222,,,-3.9,1.1,5.030227743,5,5,5.305555556,1131.39834,1180,1180,1172.222222,,0,-0.057407406,,0,-0.05,,0,-0.05,,4.44E-10,-0.050000222
